train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes
0.0003,0.00024048340856097639,0.4453943967819214,74164,17568,-0.6108179499999999,5208,3,72.0,244
0.0003,0.00028581509832292795,0.4407721161842346,74452,17856,-0.61260478,5293,3,72.0,248
0.0003,0.0003708632430061698,0.4478307366371155,74740,18144,-0.61019724,5373,3,72.0,252
0.0003,0.0007250513881444931,0.4442122280597687,75028,18432,-0.61223372,5445,3,72.0,256
0.0003,0.0002545067691244185,0.4492799639701843,75316,18720,-0.61266279,5537,3,72.0,260
0.0003,0.00044390399125404656,0.44484397768974304,75604,19008,-0.61468271,5627,3,72.0,264
0.0003,0.00022163339599501342,0.4391781687736511,75892,19296,-0.6157443600000001,5706,3,72.0,268
0.0003,0.00025349928182549775,0.4471927583217621,76180,19584,-0.61611891,5792,3,72.0,272
0.0003,0.0003724189009517431,0.44665104150772095,76468,19872,-0.61629222,5886,3,72.0,276
0.0003,0.0001800769241526723,0.44506949186325073,76756,20160,-0.62128216,5973,3,72.0,280
0.0003,0.00018037464178632945,0.4460410475730896,77044,20448,-0.6233951999999998,6071,3,72.0,284
0.0003,0.0008112916839309037,0.4548277258872986,77332,20736,-0.62325063,6164,3,72.0,288
0.0003,0.00048436460201628506,0.4431493878364563,77620,21024,-0.63017008,6249,3,72.0,292
0.0003,0.0004726611659862101,0.454879492521286,77908,21312,-0.63400437,6342,3,72.0,296
0.0003,0.00016862506163306534,0.4427421987056732,78196,21600,-0.6369276200000001,6422,3,72.0,300
0.0003,0.0003539098834153265,0.45644259452819824,78484,21888,-0.63926787,6518,3,72.0,304
0.0003,0.00011774977610912174,0.4472402334213257,78772,22176,-0.6371859599999999,6609,3,72.0,308
0.0003,0.00018734340847004205,0.4524589776992798,79060,22464,-0.6405337,6706,3,72.0,312
0.0003,0.0003056105342693627,0.45541587471961975,79348,22752,-0.6418622599999999,6789,3,72.0,316
0.0003,0.00039074959931895137,0.44522780179977417,79636,23040,-0.64210693,6871,3,72.0,320
0.0003,0.00020302608027122915,0.46187302470207214,79924,23328,-0.6430080000000001,6956,3,72.0,324
0.0003,0.00021472937078215182,0.45852065086364746,80212,23616,-0.63995491,7050,3,72.0,328
0.0003,0.00023537133529316634,0.4510946273803711,80500,23904,-0.64174034,7144,3,72.0,332
0.0003,0.00020380897331051528,0.4502445459365845,80788,24192,-0.64138664,7232,3,72.0,336
0.0003,0.0003022638848051429,0.4559732675552368,81076,24480,-0.6391033,7317,3,72.0,340
0.0003,0.0003703121328726411,0.4518440365791321,81364,24768,-0.6412861600000003,7417,3,72.0,344
0.0003,0.0003851339570246637,0.45700183510780334,81652,25056,-0.6407004999999999,7510,3,72.0,348
0.0003,0.00036963738966733217,0.46331825852394104,81940,25344,-0.64146675,7600,3,72.0,352
0.0003,0.0002780047943815589,0.4499824643135071,82228,25632,-0.64441081,7684,3,72.0,356
0.0003,0.00021096825366839767,0.4583360552787781,82516,25920,-0.64528061,7770,3,72.0,360
0.0003,0.0006313305348157883,0.45378804206848145,82804,26208,-0.64334446,7853,3,72.0,364
0.0003,0.0001914622262120247,0.4556709825992584,83092,26496,-0.64391137,7932,3,72.0,368
0.0003,0.00020295390277169645,0.4548419713973999,83380,26784,-0.64235067,8016,3,72.0,372
0.0003,0.0002974654489662498,0.45954570174217224,83668,27072,-0.64272205,8100,3,72.0,376
0.0003,0.0002723443030845374,0.46599486470222473,83956,27360,-0.63749106,8181,3,72.0,380
0.0003,0.00024021725403144956,0.4516700506210327,84244,27648,-0.6354988999999999,8263,3,72.0,384
0.0003,0.00044223471195437014,0.45466604828834534,84532,27936,-0.6347401799999999,8344,3,72.0,388
0.0003,0.0005746817332692444,0.46041667461395264,84820,28224,-0.6272698499999999,8428,3,72.0,392
0.0003,0.000528960837982595,0.4609289765357971,85108,28512,-0.62315553,8504,3,72.0,396
0.0003,0.00032459694193676114,0.46524202823638916,85396,28800,-0.6188804199999999,8580,3,72.0,400
0.0003,0.00021598191233351827,0.45615607500076294,85684,29088,-0.6165388900000001,8653,3,72.0,404
0.0003,0.00020693220722023398,0.46380287408828735,85972,29376,-0.6142840599999999,8739,3,72.0,408
0.0003,0.0002738416369538754,0.45340433716773987,86260,29664,-0.61381514,8829,3,72.0,412
0.0003,0.00032223499147221446,0.4587613046169281,86548,29952,-0.6126777200000001,8910,3,72.0,416
0.0003,0.0005160871078260243,0.46257495880126953,86836,30240,-0.6109456799999999,8999,3,72.0,420
0.0003,0.00014965377340558916,0.45323091745376587,87124,30528,-0.61192853,9084,3,72.0,424
0.0003,0.00016583563410677016,0.4589501619338989,87412,30816,-0.6125268300000001,9167,3,72.0,428
0.0003,0.00036683439975604415,0.4543599486351013,87700,31104,-0.6101489999999999,9244,3,72.0,432
0.0003,0.00037220268859528005,0.46040716767311096,87988,31392,-0.6102778,9328,3,72.0,436
0.0003,0.00025792408268898726,0.4545706510543823,88276,31680,-0.6113736000000001,9410,3,72.0,440
0.0003,0.0003071875835303217,0.4633527994155884,88564,31968,-0.60951361,9497,3,72.0,444
0.0003,0.00018860978889279068,0.45906496047973633,88852,32256,-0.60661854,9577,3,72.0,448
0.0003,0.00022096335305832326,0.4625419080257416,89140,32544,-0.60827536,9664,3,72.0,452
0.0003,0.00023103741114027798,0.4597887396812439,89428,32832,-0.60359972,9753,3,72.0,456
0.0003,0.0002656625001691282,0.46219268441200256,89716,33120,-0.60066929,9850,3,72.0,460
0.0003,0.0003368815523572266,0.4621664881706238,90004,33408,-0.5990213,9927,3,72.0,464
0.0003,0.00014865765115246177,0.4597465395927429,90292,33696,-0.5964622000000002,10008,3,72.0,468
0.0003,0.0004923844244331121,0.4722585082054138,90580,33984,-0.5995496300000001,10100,3,72.0,472
0.0003,0.00034083606442436576,0.45761772990226746,90868,34272,-0.59884227,10190,3,72.0,476
0.0003,0.0002779148635454476,0.4720047414302826,91156,34560,-0.59861916,10272,3,72.0,480
0.0003,0.0001594492932781577,0.4698987603187561,91444,34848,-0.59750504,10356,3,72.0,484
0.0003,0.00019519624765962362,0.4686621129512787,91732,35136,-0.59592854,10454,3,72.0,488
0.0003,0.00028118130285292864,0.4657618999481201,92020,35424,-0.5978831200000001,10536,3,72.0,492
0.0003,0.00033178291050717235,0.45659148693084717,92308,35712,-0.59808707,10606,3,72.0,496
0.0003,0.0003756544319912791,0.4708726108074188,92596,36000,-0.5980029699999999,10688,3,72.0,500
0.0003,0.00023313674319069833,0.466263085603714,92884,36288,-0.59789139,10776,3,72.0,504
0.0003,0.00012153421994298697,0.45629820227622986,93172,36576,-0.59799388,10855,3,72.0,508
0.0003,0.00020799689809791744,0.4588809907436371,93460,36864,-0.5944131500000001,10940,3,72.0,512
0.0003,0.00027054594829678535,0.46139198541641235,93748,37152,-0.5924698700000001,11012,3,72.0,516
0.0003,0.00019038647587876767,0.45978856086730957,94036,37440,-0.5905282900000001,11084,3,72.0,520
0.0003,0.00025699817342683673,0.4593777656555176,94324,37728,-0.58936248,11163,3,72.0,524
0.0003,0.0003415281535126269,0.46803203225135803,94612,38016,-0.59033826,11260,3,72.0,528
0.0003,0.00013027337263338268,0.46949777007102966,94900,38304,-0.59202175,11355,3,72.0,532
0.0003,0.0001692256482783705,0.46530985832214355,95188,38592,-0.59308223,11456,3,72.0,536
0.0003,0.0016795602859929204,0.47180935740470886,95476,38880,-0.59330848,11555,3,72.0,540
0.0003,0.00035067147109657526,0.4640732705593109,95764,39168,-0.59312927,11646,3,72.0,544
0.0003,0.0001691710640443489,0.4685816764831543,96052,39456,-0.5938202499999999,11740,3,72.0,548
0.0003,0.00019704010628629476,0.460173636674881,96340,39744,-0.5925994600000001,11836,3,72.0,552
0.0003,0.0005499802646227181,0.46716129779815674,96628,40032,-0.59322678,11933,3,72.0,556
0.0003,0.00047401024494320154,0.4645825922489166,96916,40320,-0.59579438,12026,3,72.0,560
0.0003,0.0007356302812695503,0.47296375036239624,97204,40608,-0.5956317100000001,12113,3,72.0,564
0.0003,0.00015889486530795693,0.4661816954612732,97492,40896,-0.5979117100000001,12217,3,72.0,568
0.0003,0.0005393745377659798,0.4626426696777344,97780,41184,-0.5920529000000001,12311,3,72.0,572
0.0003,0.00024475911050103605,0.4724058508872986,98068,41472,-0.5940912500000001,12419,3,72.0,576
0.0003,0.00041926189442165196,0.4629327356815338,98356,41760,-0.5950751,12516,3,72.0,580
0.0003,0.0002667573280632496,0.4660053551197052,98644,42048,-0.5984820200000001,12611,3,72.0,584
0.0003,0.00013071196735836565,0.4709354043006897,98932,42336,-0.6004055399999999,12709,3,72.0,588
0.0003,0.00015117807197384536,0.4569522738456726,99220,42624,-0.5989434800000001,12812,3,72.0,592
0.0003,0.00044653305667452514,0.4669341742992401,99508,42912,-0.59903987,12907,3,72.0,596
0.0003,0.0003396475513000041,0.46726155281066895,99796,43200,-0.5981398499999999,13006,3,72.0,600
0.0003,0.00012967742804903537,0.4660470485687256,100084,43488,-0.59892272,13103,3,72.0,604
0.0003,0.00016816963034216315,0.4647003710269928,100372,43776,-0.59895648,13204,3,72.0,608
0.0003,0.00022935197921469808,0.4597795605659485,100660,44064,-0.60142267,13303,3,72.0,612
0.0003,0.00020027878053952008,0.4577840566635132,100948,44352,-0.6039190099999999,13404,3,72.0,616
0.0003,0.0002418040530756116,0.46607670187950134,101236,44640,-0.60686975,13501,3,72.0,620
0.0003,0.0001771158422343433,0.46530023217201233,101524,44928,-0.6070799,13592,3,72.0,624
0.0003,0.00020374797168187797,0.4646422266960144,101812,45216,-0.6112584900000001,13695,3,72.0,628
0.0003,0.0003196410834789276,0.4703664183616638,102100,45504,-0.610873,13791,3,72.0,632
0.0003,0.0005050721811130643,0.4718213975429535,102388,45792,-0.60853241,13888,3,72.0,636
0.0003,0.00028132100123912096,0.46905431151390076,102676,46080,-0.60572346,13980,3,72.0,640
0.0003,9.139010944636539e-05,0.46169453859329224,102964,46368,-0.60280445,14066,3,72.0,644
0.0003,0.00025107176043093204,0.46441805362701416,103252,46656,-0.60359202,14161,3,72.0,648
0.0003,0.0014215998817235231,0.46917295455932617,103540,46944,-0.6026959299999999,14255,3,72.0,652
0.0003,0.00019302291912026703,0.46112605929374695,103828,47232,-0.60603183,14354,3,72.0,656
0.0003,0.00017787542310543358,0.4654572010040283,104116,47520,-0.60197964,14445,3,72.0,660
0.0003,0.0003402535221539438,0.45975029468536377,104404,47808,-0.60391002,14532,3,72.0,664
0.0003,0.00031229748856276274,0.4712703227996826,104692,48096,-0.60442205,14619,3,72.0,668
0.0003,0.00023900880478322506,0.4632984697818756,104980,48384,-0.60706042,14710,3,72.0,672
0.0003,0.00040735385846346617,0.4623461663722992,105268,48672,-0.6036281400000001,14797,3,72.0,676
0.0003,0.0002817949862219393,0.4629233479499817,105556,48960,-0.6075330999999999,14887,3,72.0,680
0.0003,0.0006442039739340544,0.4644981324672699,105844,49248,-0.60606331,14978,3,72.0,684
0.0003,0.00021847763855475932,0.45935940742492676,106132,49536,-0.6037599199999999,15059,3,72.0,688
0.0003,0.00023974805662874132,0.4743262231349945,106420,49824,-0.6017745400000001,15145,3,72.0,692
0.0003,0.00028661571559496224,0.4673428535461426,106708,50112,-0.60331474,15225,3,72.0,696
0.0003,0.00018328909936826676,0.465131938457489,106996,50400,-0.6040920399999999,15308,3,72.0,700
0.0003,0.0002529322518967092,0.45959317684173584,107284,50688,-0.60023756,15387,3,72.0,704
0.0003,0.000267623778199777,0.4651831388473511,107572,50976,-0.60291074,15471,3,72.0,708
0.0003,0.000194276130059734,0.46955832839012146,107860,51264,-0.6052013700000001,15560,3,72.0,712
0.0003,0.00017118178948294371,0.4641835689544678,108148,51552,-0.6043719,15650,3,72.0,716
0.0003,0.00030553690157830715,0.4690224528312683,108436,51840,-0.60362184,15731,3,72.0,720
0.0003,0.0003790946211665869,0.46504244208335876,108724,52128,-0.60592085,15820,3,72.0,724
0.0003,0.000220648042159155,0.4610718786716461,109012,52416,-0.5986924700000001,15897,3,72.0,728
0.0003,0.00020532213966362178,0.46138787269592285,109300,52704,-0.5985424100000001,15986,3,72.0,732
0.0003,0.0002113029477186501,0.4673091769218445,109588,52992,-0.5982290100000001,16058,3,72.0,736
0.0003,0.000224783769226633,0.46774911880493164,109876,53280,-0.6005187200000001,16133,3,72.0,740
0.0003,0.0009523681364953518,0.47375601530075073,110164,53568,-0.60408141,16203,3,72.0,744
0.0003,0.0003915152046829462,0.4681246280670166,110452,53856,-0.6050637700000001,16283,3,72.0,748
0.0003,0.00016862445045262575,0.4673197269439697,110740,54144,-0.6077941,16364,3,72.0,752
0.0003,0.00016638843226246536,0.47255969047546387,111028,54432,-0.60522748,16436,3,72.0,756
0.0003,0.00038138747913762927,0.4685465097427368,111316,54720,-0.60678658,16518,3,72.0,760
0.0003,0.00038999272510409355,0.47112274169921875,111604,55008,-0.60702592,16598,3,72.0,764
0.0003,0.00023412139853462577,0.4613523483276367,111892,55296,-0.6053609700000001,16676,3,72.0,768
0.0003,0.0004699294804595411,0.466854989528656,112180,55584,-0.60642891,16753,3,72.0,772
0.0003,0.00024306024715770036,0.4711151719093323,112468,55872,-0.6081721900000001,16837,3,72.0,776
0.0003,0.00024314556503668427,0.46829551458358765,112756,56160,-0.60365077,16910,3,72.0,780
0.0003,0.00015601397899445146,0.4657282531261444,113044,56448,-0.5998467900000001,16984,3,72.0,784
0.0003,0.00016712374053895473,0.45874547958374023,113332,56736,-0.60071416,17059,3,72.0,788
0.0003,0.0002116577234119177,0.4654097557067871,113620,57024,-0.60068189,17138,3,72.0,792
0.0003,0.00022012721456121653,0.46511849761009216,113908,57312,-0.5996961500000001,17214,3,72.0,796
