time/total_timesteps,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
190176,39455,4,0.37241919999999995,168.0,1132,-3.6240813399999996,0.001,94584,1874672.25
190848,39614,4,0.3702015999999999,168.0,1136,-3.6575171199999996,0.001,94920,1661483.84375
191520,39773,4,0.36798399999999987,168.0,1140,-3.6915826600000003,0.001,95256,1655516.28125
192192,39928,4,0.3657663999999998,168.0,1144,-3.7111915499999997,0.001,95592,1860447.0
192864,40071,4,0.3635487999999999,168.0,1148,-3.77852532,0.001,95928,1546319.0625
193536,40213,4,0.36133119999999985,168.0,1152,-3.8459418,0.001,96264,1950056.21875
194208,40363,4,0.35911360000000003,168.0,1156,-3.81037678,0.001,96600,1537308.625
194880,40527,4,0.356896,168.0,1160,-3.7781529899999997,0.001,96936,1746923.3125
195552,40689,4,0.35467839999999995,168.0,1164,-3.7538250199999994,0.001,97272,1458782.5
196224,40847,4,0.3524607999999999,168.0,1168,-3.77643565,0.001,97608,1528915.0
196896,41005,4,0.3502432000000001,168.0,1172,-3.6836534499999996,0.001,97944,1943812.34375
197568,41183,4,0.34802560000000016,168.0,1176,-3.67287129,0.001,98280,1631738.875
198240,41347,4,0.345808,168.0,1180,-3.650788440000001,0.001,98616,2041583.25
198912,41502,4,0.3435904000000001,168.0,1184,-3.68980038,0.001,98952,1839526.625
199584,41652,4,0.34137280000000003,168.0,1188,-3.645265559999999,0.001,99288,2272752.25
200256,41809,4,0.3391552000000001,168.0,1192,-3.658656169999999,0.001,99624,1874332.3125
200928,41961,4,0.33693759999999995,168.0,1196,-3.63266411,0.001,99960,1930218.65625
201600,42103,4,0.3347199999999999,168.0,1200,-3.6824438600000002,0.001,100296,1672055.09375
202272,42259,4,0.3325024,168.0,1204,-3.7290864300000006,0.001,100632,1755976.1875
202944,42416,4,0.33028479999999993,168.0,1208,-3.67820256,0.001,100968,1912621.75
203616,42568,4,0.3280671999999999,168.0,1212,-3.7203073700000004,0.001,101304,1327767.734375
204288,42723,4,0.32584959999999985,168.0,1216,-3.68249172,0.001,101640,1620360.15625
204960,42878,4,0.3236319999999999,168.0,1220,-3.7283831299999997,0.001,101976,1908579.09375
205632,43028,4,0.3214143999999999,168.0,1224,-3.73277892,0.001,102312,1722632.78125
206304,43185,4,0.31919679999999995,168.0,1228,-3.754812060000001,0.001,102648,1680227.1875
206976,43333,4,0.3169792,168.0,1232,-3.7285200400000007,0.001,102984,1428208.40625
